month,CPI
Jan 1983,97.900
Feb 1983,98.000
Mar 1983,98.100
Apr 1983,98.800
May 1983,99.200
Jun 1983,99.400
Jul 1983,99.800
Aug 1983,100.100
Sep 1983,100.400
Oct 1983,100.800
Nov 1983,101.100
Dec 1983,101.400
Jan 1984,102.100
Feb 1984,102.600
Mar 1984,102.900
Apr 1984,103.300
May 1984,103.500
Jun 1984,103.700
Jul 1984,104.100
Aug 1984,104.400
Sep 1984,104.700
Oct 1984,105.100
Nov 1984,105.300
Dec 1984,105.500
Jan 1985,105.700
Feb 1985,106.300
Mar 1985,106.800
Apr 1985,107.000
May 1985,107.200
Jun 1985,107.500
Jul 1985,107.700
Aug 1985,107.900
Sep 1985,108.100
Oct 1985,108.500
Nov 1985,109.000
Dec 1985,109.500
Jan 1986,109.900
Feb 1986,109.700
Mar 1986,109.100
Apr 1986,108.700
May 1986,109.000
Jun 1986,109.400
Jul 1986,109.500
Aug 1986,109.600
Sep 1986,110.000
Oct 1986,110.200
Nov 1986,110.400
Dec 1986,110.800
Jan 1987,111.400
Feb 1987,111.800
Mar 1987,112.200
Apr 1987,112.700
May 1987,113.000
Jun 1987,113.500
Jul 1987,113.800
Aug 1987,114.300
Sep 1987,114.700
Oct 1987,115.000
Nov 1987,115.400
Dec 1987,115.600
Jan 1988,116.000
Feb 1988,116.200
Mar 1988,116.500
Apr 1988,117.200
May 1988,117.500
Jun 1988,118.000
Jul 1988,118.500
Aug 1988,119.000
Sep 1988,119.500
Oct 1988,119.900
Nov 1988,120.300
Dec 1988,120.700
Jan 1989,121.200
Feb 1989,121.600
Mar 1989,122.200
Apr 1989,123.100
May 1989,123.700
Jun 1989,124.100
Jul 1989,124.500
Aug 1989,124.500
Sep 1989,124.800
Oct 1989,125.400
Nov 1989,125.900
Dec 1989,126.300
Jan 1990,127.500
Feb 1990,128.000
Mar 1990,128.600
Apr 1990,128.900
May 1990,129.100
Jun 1990,129.900
Jul 1990,130.500
Aug 1990,131.600
Sep 1990,132.500
Oct 1990,133.400
Nov 1990,133.700
Dec 1990,134.200
Jan 1991,134.700
Feb 1991,134.800
Mar 1991,134.800
Apr 1991,135.100
May 1991,135.600
Jun 1991,136.000
Jul 1991,136.200
Aug 1991,136.600
Sep 1991,137.000
Oct 1991,137.200
Nov 1991,137.800
Dec 1991,138.200
Jan 1992,138.300
Feb 1992,138.600
Mar 1992,139.100
Apr 1992,139.400
May 1992,139.700
Jun 1992,140.100
Jul 1992,140.500
Aug 1992,140.800
Sep 1992,141.100
Oct 1992,141.700
Nov 1992,142.100
Dec 1992,142.300
Jan 1993,142.800
Feb 1993,143.100
Mar 1993,143.300
Apr 1993,143.800
May 1993,144.200
Jun 1993,144.300
Jul 1993,144.500
Aug 1993,144.800
Sep 1993,145.000
Oct 1993,145.600
Nov 1993,146.000
Dec 1993,146.300
Jan 1994,146.300
Feb 1994,146.700
Mar 1994,147.100
Apr 1994,147.200
May 1994,147.500
Jun 1994,147.900
Jul 1994,148.400
Aug 1994,149.000
Sep 1994,149.300
Oct 1994,149.400
Nov 1994,149.800
Dec 1994,150.100
Jan 1995,150.500
Feb 1995,150.900
Mar 1995,151.200
Apr 1995,151.800
May 1995,152.100
Jun 1995,152.400
Jul 1995,152.600
Aug 1995,152.900
Sep 1995,153.100
Oct 1995,153.500
Nov 1995,153.700
Dec 1995,153.900
Jan 1996,154.700
Feb 1996,155.000
Mar 1996,155.500
Apr 1996,156.100
May 1996,156.400
Jun 1996,156.700
Jul 1996,157.000
Aug 1996,157.200
Sep 1996,157.700
Oct 1996,158.200
Nov 1996,158.700
Dec 1996,159.100
Jan 1997,159.400
Feb 1997,159.700
Mar 1997,159.800
Apr 1997,159.900
May 1997,159.900
Jun 1997,160.200
Jul 1997,160.400
Aug 1997,160.800
Sep 1997,161.200
Oct 1997,161.500
Nov 1997,161.700
Dec 1997,161.800
Jan 1998,162.000
Feb 1998,162.000
Mar 1998,162.000
Apr 1998,162.200
May 1998,162.600
Jun 1998,162.800
Jul 1998,163.200
Aug 1998,163.400
Sep 1998,163.500
Oct 1998,163.900
Nov 1998,164.100
Dec 1998,164.400
Jan 1999,164.700
Feb 1999,164.700
Mar 1999,164.800
Apr 1999,165.900
May 1999,166.000
Jun 1999,166.000
Jul 1999,166.700
Aug 1999,167.100
Sep 1999,167.800
Oct 1999,168.100
Nov 1999,168.400
Dec 1999,168.800
Jan 2000,169.300
Feb 2000,170.000
Mar 2000,171.000
Apr 2000,170.900
May 2000,171.200
Jun 2000,172.200
Jul 2000,172.700
Aug 2000,172.700
Sep 2000,173.600
Oct 2000,173.900
Nov 2000,174.200
Dec 2000,174.600
Jan 2001,175.600
Feb 2001,176.000
Mar 2001,176.100
Apr 2001,176.400
May 2001,177.300
Jun 2001,177.700
Jul 2001,177.400
Aug 2001,177.400
Sep 2001,178.100
Oct 2001,177.600
Nov 2001,177.500
Dec 2001,177.400
Jan 2002,177.700
Feb 2002,178.000
Mar 2002,178.500
Apr 2002,179.300
May 2002,179.500
Jun 2002,179.600
Jul 2002,180.000
Aug 2002,180.500
Sep 2002,180.800
Oct 2002,181.200
Nov 2002,181.500
Dec 2002,181.800
Jan 2003,182.600
Feb 2003,183.600
Mar 2003,183.900
Apr 2003,183.200
May 2003,182.900
Jun 2003,183.100
Jul 2003,183.700
Aug 2003,184.500
Sep 2003,185.100
Oct 2003,184.900
Nov 2003,185.000
Dec 2003,185.500
Jan 2004,186.300
Feb 2004,186.700
Mar 2004,187.100
Apr 2004,187.400
May 2004,188.200
Jun 2004,188.900
Jul 2004,189.100
Aug 2004,189.200
Sep 2004,189.800
Oct 2004,190.800
Nov 2004,191.700
Dec 2004,191.700
Jan 2005,191.600
Feb 2005,192.400
Mar 2005,193.100
Apr 2005,193.700
May 2005,193.600
Jun 2005,193.700
Jul 2005,194.900
Aug 2005,196.100
Sep 2005,198.800
Oct 2005,199.100
Nov 2005,198.100
Dec 2005,198.100
Jan 2006,199.300
Feb 2006,199.400
Mar 2006,199.700
Apr 2006,200.700
May 2006,201.300
Jun 2006,201.800
Jul 2006,202.900
Aug 2006,203.800
Sep 2006,202.800
Oct 2006,201.900
Nov 2006,202.000
Dec 2006,203.100
Jan 2007,203.437
Feb 2007,204.226
Mar 2007,205.288
Apr 2007,205.904
May 2007,206.755
Jun 2007,207.234
Jul 2007,207.603
Aug 2007,207.667
Sep 2007,208.547
Oct 2007,209.190
Nov 2007,210.834
Dec 2007,211.445
Jan 2008,212.174
Feb 2008,212.687
Mar 2008,213.448
Apr 2008,213.942
May 2008,215.208
Jun 2008,217.463
Jul 2008,219.016
Aug 2008,218.690
Sep 2008,218.877
Oct 2008,216.995
Nov 2008,213.153
Dec 2008,211.398
Jan 2009,211.933
Feb 2009,212.705
Mar 2009,212.495
Apr 2009,212.709
May 2009,213.022
Jun 2009,214.790
Jul 2009,214.726
Aug 2009,215.445
Sep 2009,215.861
Oct 2009,216.509
Nov 2009,217.234
Dec 2009,217.347
Jan 2010,217.488
Feb 2010,217.281
Mar 2010,217.353
Apr 2010,217.403
May 2010,217.290
Jun 2010,217.199
Jul 2010,217.605
Aug 2010,217.923
Sep 2010,218.275
Oct 2010,219.035
Nov 2010,219.590
Dec 2010,220.472
Jan 2011,221.187
Feb 2011,221.898
Mar 2011,223.046
Apr 2011,224.093
May 2011,224.806
Jun 2011,224.806
Jul 2011,225.395
Aug 2011,226.106
Sep 2011,226.597
Oct 2011,226.750
Nov 2011,227.169
Dec 2011,227.223
Jan 2012,227.842
Feb 2012,228.329
Mar 2012,228.807
Apr 2012,229.187
May 2012,228.713
Jun 2012,228.524
Jul 2012,228.590
Aug 2012,229.918
Sep 2012,231.015
Oct 2012,231.638
Nov 2012,231.249
Dec 2012,231.221
Jan 2013,231.679
Feb 2013,232.937
Mar 2013,232.282
Apr 2013,231.797
May 2013,231.893
Jun 2013,232.445
Jul 2013,232.900
Aug 2013,233.456
Sep 2013,233.544
Oct 2013,233.669
Nov 2013,234.100
Dec 2013,234.719
Jan 2014,235.288
Feb 2014,235.547
Mar 2014,236.028
Apr 2014,236.468
May 2014,236.918
Jun 2014,237.231
Jul 2014,237.498
Aug 2014,237.460
Sep 2014,237.477
Oct 2014,237.430
Nov 2014,236.983
Dec 2014,236.252
Jan 2015,234.718
Feb 2015,235.236
Mar 2015,236.005
Apr 2015,236.156
May 2015,236.974
Jun 2015,237.684
Jul 2015,238.053
Aug 2015,238.028
Sep 2015,237.506
Oct 2015,237.781
Nov 2015,238.016
Dec 2015,237.817
Jan 2016,237.833
Feb 2016,237.469
Mar 2016,238.038
Apr 2016,238.827
May 2016,239.464
Jun 2016,240.167
Jul 2016,240.150
Aug 2016,240.602
Sep 2016,241.051
Oct 2016,241.691
Nov 2016,242.029
Dec 2016,242.772
Jan 2017,243.780
Feb 2017,243.961
Mar 2017,243.749
Apr 2017,244.051
May 2017,243.962
Jun 2017,244.182
Jul 2017,244.390
Aug 2017,245.297
Sep 2017,246.418
Oct 2017,246.587
Nov 2017,247.332
Dec 2017,247.901
Jan 2018,248.884
Feb 2018,249.369
Mar 2018,249.498
Apr 2018,249.956
May 2018,250.646
Jun 2018,251.134
Jul 2018,251.597
Aug 2018,251.879
Sep 2018,252.010
Oct 2018,252.794
Nov 2018,252.760
Dec 2018,252.723
